date,location_key,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested,new_hospitalized_patients,new_intensive_care_patients,new_ventilator_patients,cumulative_hospitalized_patients,cumulative_intensive_care_patients,cumulative_ventilator_patients,current_hospitalized_patients,current_intensive_care_patients,current_ventilator_patients,mobility_transit_stations,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_residential,mobility_workplaces,wikidata_id,datacommons_id,openstreetmap_id,latitude,longitude,location_geometry,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm
2020-03-30,PK,PK,Pakistan,,,,,PK,PAK,0,99,5,1,284,1625,18,,15967,,,,,,,,,,-59,-66,-49,-36,24,-62,Q843,country/PAK,307573,,,,21.416667,16.611111,26.701389,3.2385,
2020-03-31,PK,PK,Pakistan,,,,,PK,PAK,0,414,8,,1357,2039,26,,17324,,,,,,,,,,-60,-68,-53,-39,23,-62,Q843,country/PAK,307573,,,,18.555556,15.409722,23.263889,37.9095,
2020-04-01,PK,PK,Pakistan,,,,,PK,PAK,0,252,5,,12984,2291,31,,30308,,,,,,,,,,-58,-68,-52,-37,22,-60,Q843,country/PAK,307573,,,,19.875,14.201389,25.340278,9.42975,
2020-04-04,PK,PK,Pakistan,,,,,PK,PAK,0,159,4,,990,2450,35,,35875,,,,,,,,,,-58,-67,-49,-39,20,-52,Q843,country/PAK,307573,,,,23.555556,16.826389,30.534722,0,
2020-04-05,PK,PK,Pakistan,,,,,PK,PAK,0,827,15,,3308,3277,50,,39183,,,,,,,,,,-57,-65,-51,-41,15,-34,Q843,country/PAK,307573,,,,24.013889,17.826389,30.986111,1.5875,
2020-04-06,PK,PK,Pakistan,,,,,PK,PAK,0,587,4,,2976,3864,54,,42159,,,,,,,,,,-53,-60,-42,-30,20,-53,Q843,country/PAK,307573,,,,23.154321,17.802469,29.111111,0,
2020-04-07,PK,PK,Pakistan,,,,,PK,PAK,0,208,4,,2737,4072,58,,44896,,,,,,,,,,-53,-62,-45,-31,20,-54,Q843,country/PAK,307573,,,,22.458333,17.611111,28.673611,10.414,
2020-04-08,PK,PK,Pakistan,,,,,PK,PAK,0,250,5,,9810,4322,63,,54706,,,,,,,,,,-53,-64,-48,-32,20,-55,Q843,country/PAK,307573,,,,23.416667,16.861111,29.423611,0.53975,
2020-04-09,PK,PK,Pakistan,,,,,PK,PAK,0,279,3,,3130,4601,66,,57836,,,,,,,,,,-56,-65,-50,-35,22,-57,Q843,country/PAK,307573,,,,25.131944,17.986111,31.763889,0,
2020-04-10,PK,PK,Pakistan,,,,,PK,PAK,0,187,5,,3965,4788,71,,61801,,,,,,,,,,-57,-66,-50,-35,21,-55,Q843,country/PAK,307573,,,,25.104167,19.340278,31.201389,0.0635,
2020-04-11,PK,PK,Pakistan,,,,,PK,PAK,0,250,15,,3313,5038,86,,65114,,,,,,,,,,-55,-65,-47,-36,19,-48,Q843,country/PAK,307573,,,,26.645833,19.798611,33.0625,0,
2020-04-12,PK,PK,Pakistan,,,,,PK,PAK,0,336,7,,4814,5374,93,,69928,,,,,,,,,,-56,-65,-49,-40,15,-33,Q843,country/PAK,307573,,,,28.354167,20.923611,35.298611,0,
2020-04-13,PK,PK,Pakistan,,,,,PK,PAK,0,342,3,,3511,5716,96,,73439,,,,,,,,,,-52,-59,-42,-30,20,-52,Q843,country/PAK,307573,,,,28.631944,21.6875,35.402778,1.42875,
2020-04-14,PK,PK,Pakistan,,,,,PK,PAK,0,272,11,,5540,5988,107,,78979,,,,,,,,,,-53,-61,-45,-31,19,-52,Q843,country/PAK,307573,,,,27.722222,22.173611,34.423611,13.74775,
2020-04-15,PK,PK,Pakistan,,,,,PK,PAK,0,517,17,,5725,6505,124,,84704,,,,,,,,,,-49,-59,-43,-28,19,-48,Q843,country/PAK,307573,,,,27.340278,20.9375,34.076389,4.98475,
2020-04-16,PK,PK,Pakistan,,,,,PK,PAK,0,520,11,,7844,7025,135,,92548,,,,,,,,,,-49,-57,-41,-27,19,-48,Q843,country/PAK,307573,,,,26.631944,20.986111,32.222222,0,
2020-04-17,PK,PK,Pakistan,,,,,PK,PAK,0,456,8,,5974,7481,143,,98522,,,,,,,,,,-54,-63,-47,-33,19,-50,Q843,country/PAK,307573,,,,23.382716,18.123457,29.833333,8.128,
2020-04-18,PK,PK,Pakistan,,,,,PK,PAK,0,512,16,,5780,7993,159,,104302,,,,,,,,,,-50,-60,-42,-33,16,-40,Q843,country/PAK,307573,,,,23.701389,17.298611,29.611111,35.1155,
2020-04-19,PK,PK,Pakistan,,,,,PK,PAK,0,425,17,,,8418,176,,,,,,,,,,,,-50,-57,-41,-34,12,-23,Q843,country/PAK,307573,,,,25.962963,19.45679,31.722222,0,
2020-04-20,PK,PK,Pakistan,,,,,PK,PAK,0,798,16,,,9216,192,,111806,,,,,,,,,,-46,-51,-34,-24,16,-43,Q843,country/PAK,307573,,,,25.450617,20.58642,30.734568,15.875,
